# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-T" "20" "-a" "/scratch/summit/parsa96@colostate.edu/SC_Genome/sacCer3.ensGene.gtf" "-o" "../outputs/_output/03_feature/counts.txt" "../outputs/_output/02_hisat2/SC01.sam" "../outputs/_output/02_hisat2/SC02.sam" "../outputs/_output/02_hisat2/SC03.sam" "../outputs/_output/02_hisat2/SC04.sam" "../outputs/_output/02_hisat2/SC05.sam" "../outputs/_output/02_hisat2/SC06.sam" "../outputs/_output/02_hisat2/SC07.sam" "../outputs/_output/02_hisat2/SC08.sam" "../outputs/_output/02_hisat2/SC09.sam" "../outputs/_output/02_hisat2/SC010.sam" "../outputs/_output/02_hisat2/SC011.sam" "../outputs/_output/02_hisat2/SC012.sam" 
Geneid	Chr	Start	End	Strand	Length	../outputs/_output/02_hisat2/SC01.sam	../outputs/_output/02_hisat2/SC02.sam	../outputs/_output/02_hisat2/SC03.sam	../outputs/_output/02_hisat2/SC04.sam	../outputs/_output/02_hisat2/SC05.sam	../outputs/_output/02_hisat2/SC06.sam	../outputs/_output/02_hisat2/SC07.sam	../outputs/_output/02_hisat2/SC08.sam	../outputs/_output/02_hisat2/SC09.sam	../outputs/_output/02_hisat2/SC010.sam	../outputs/_output/02_hisat2/SC011.sam	../outputs/_output/02_hisat2/SC012.sam
snR9	chrXV	407948	408134	-	187	167	205	134	94	102	260	48	81	169	108	65	59
YOR041C	chrXV	408358	408789	-	432	9	15	5	4	10	7	6	2	3	4	7	13
YOR042W	chrXV	408425	409660	+	1236	3866	4167	4149	3890	3059	2743	4753	4101	3201	2564	4733	5848
snR62	chrXV	409765	409864	-	100	36	26	19	13	14	18	14	15	25	24	22	21
YOR043W	chrXV	410870	412330	+	1461	1725	1786	771	755	1696	1442	1097	859	1851	1873	943	1351
YOR044W	chrXV	413007	413480	+	474	301	286	86	86	237	202	126	70	195	174	82	115
YOR045W	chrXV	413852	414037	+	186	628	666	852	844	712	688	993	816	1356	1045	835	1124
YOR046C	chrXV	414459	415907	-	1449	1337	1529	2293	2299	1547	1333	2888	2193	2060	1852	2396	3103
YOR047C	chrXV	416347	417681	-	1335	921	910	921	969	846	695	1454	1183	1198	1032	1125	1544
YOR048C	chrXV	418630	421650	-	3021	2992	3325	3551	3435	2738	2238	4298	3507	3659	3063	3741	4890
YOR049C	chrXV	422668	423732	-	1065	507	598	420	426	467	392	615	490	425	433	538	773
YOR050C	chrXV	424270	424617	-	348	318	348	183	162	259	222	242	211	288	270	218	267
YOR051C	chrXV	424846	426084	-	1239	2186	2445	3464	3473	2540	2162	4127	3619	4115	3317	3717	4680
YOR052C	chrXV	426772	427224	-	453	1764	1916	4008	4072	1305	1248	5967	4558	1550	1504	5130	7182
YOR053W	chrXV	427817	428158	+	342	1	2	3	1	0	2	2	0	0	0	4	3
YOR054C	chrXV	427833	429857	-	2025	845	932	666	700	542	506	1005	864	541	574	828	1151
YOR055W	chrXV	429478	429912	+	435	23	25	24	23	27	28	57	29	22	23	31	45
YOR056C	chrXV	430247	431626	-	1380	1789	1920	2336	2280	2722	2495	2993	2613	3633	3188	2799	3491
YOR057W	chrXV	432186	433373	+	1188	804	839	884	1078	699	610	1393	1050	561	613	1116	1658
YOR058C	chrXV	433688	436345	-	2658	760	790	849	765	761	782	1100	851	1040	1046	1000	1372
tK(UUU)O	chrXV;chrXV	438643;438703	438679;438738	+;+	73	19	22	2	3	16	23	4	5	11	11	3	6
YOR059C	chrXV	438906	440258	-	1353	876	911	787	825	530	514	1218	930	480	551	1010	1414
YOR060C	chrXV	440390	441163	-	774	229	291	155	145	218	197	218	172	226	220	162	236
YOR061W	chrXV	441534	442553	+	1020	2085	2293	2027	1978	1964	1604	2443	2002	2734	2400	2096	2791
YOR062C	chrXV	442725	443531	-	807	609	704	371	402	690	590	551	378	600	561	439	631
YOR063W	chrXV	444686	445849	+	1164	34708	38665	11627	10899	47246	43339	14529	11755	75052	58496	12126	16439
YOR064C	chrXV	446079	446738	-	660	482	515	210	205	553	579	286	275	545	490	241	327
YOR065W	chrXV	447439	448368	+	930	5733	6203	4913	4640	4592	4381	6530	5340	9545	6384	5395	6942
YOR066W	chrXV	449436	451325	+	1890	1150	1182	1245	1032	955	888	1549	1308	1411	1248	1455	2072
YOR067C	chrXV	451729	453462	-	1734	718	736	285	292	664	601	461	338	937	865	358	514
YOR069W	chrXV	453768	455795	+	2028	965	1113	1159	1127	777	697	1541	1217	1081	1026	1272	1748
YOR068C	chrXV	453869	454213	-	345	0	0	0	0	0	0	0	0	0	0	0	0
YOR070C	chrXV	455907	457820	-	1914	541	551	625	592	456	382	911	726	490	421	819	1071
YOR071C	chrXV	459480	461276	-	1797	710	740	421	424	478	378	536	469	572	438	478	689
YOR072W	chrXV	461502	461816	+	315	50	51	16	8	18	37	10	11	38	41	9	26
YOR072W-A	chrXV	461791	462039	+	249	22	21	4	6	17	11	4	2	13	11	3	6
tP(UGG)O2	chrXV;chrXV	464450;464516	464485;464551	+;+	72	0	0	0	0	0	0	0	0	0	0	0	0
YOR072W-B	chrXV	464469	464630	+	162	0	1	0	0	1	0	0	0	0	0	0	0
YOR073W	chrXV	464771	466543	+	1773	339	422	180	216	369	310	263	211	561	532	195	282
YOR074C	chrXV	466675	467589	-	915	1419	1512	1399	1349	720	729	1795	1356	832	829	1555	2078
YOR073W-A	chrXV	467390	467623	+	234	1	2	0	0	0	0	3	0	1	0	0	0
YOR075W	chrXV	468212	469252	+	1041	324	384	391	395	278	240	514	393	328	325	423	597
YOR076C	chrXV	469377	471620	-	2244	384	405	621	630	468	348	798	612	407	417	596	957
YOR077W	chrXV	471899	472597	+	699	328	347	149	114	480	387	174	175	476	433	156	194
YOR078W	chrXV	472725	473369	+	645	1322	1421	1139	1036	2165	1768	1401	1252	2247	1924	1230	1426
YOR079C	chrXV	473475	474416	-	942	418	467	221	251	451	383	350	287	524	436	247	383
YOR080W	chrXV	474594	476792	+	2199	825	953	651	671	752	690	992	818	686	773	727	1155
YOR081C	chrXV	476939	479188	-	2250	955	1001	1188	1136	779	669	1644	1311	957	848	1387	1807
YOR082C	chrXV	479296	479637	-	342	9	4	7	8	8	9	9	8	6	9	11	9
YOR083W	chrXV	479533	480420	+	888	623	707	339	370	431	396	518	495	579	468	455	574
YOR084W	chrXV	480587	481750	+	1164	833	907	433	367	501	492	603	500	834	581	490	638
YOR085W	chrXV	482033	483085	+	1053	1804	1998	2155	2147	1496	1208	2721	2188	1963	1591	2136	2897
YOR086C	chrXV	483219	486779	-	3561	5174	5264	2591	2562	3778	3178	3079	2583	5121	4041	2697	3456
tN(GUU)O2	chrXV	487439	487512	+	74	0	3	0	0	1	0	2	0	0	0	0	1
YOR087W	chrXV	487707	489734	+	2028	938	970	839	787	735	681	1128	863	832	818	850	1169
YOR089C	chrXV	490196	490828	-	633	3058	3294	2785	2707	2516	2232	3465	2815	2953	2430	3341	4512
YOR090C	chrXV	491123	492841	-	1719	1738	1880	1321	1247	1499	1193	1857	1410	1549	1399	1489	2018
YOR091W	chrXV	493433	494470	+	1038	2274	2755	2611	2677	3435	3293	3338	2879	4361	3847	3230	4042
YOR092W	chrXV	495127	496968	+	1842	990	1057	318	280	922	799	378	345	1099	988	310	479
YOR093C	chrXV	497506	502452	-	4947	902	837	757	776	707	582	1069	878	741	693	792	1203
YOR094W	chrXV	502795	503346	+	552	600	650	588	598	623	470	856	682	597	581	694	867
YOR095C	chrXV	503552	504328	-	777	403	445	386	390	652	504	569	487	901	863	423	521
YOR096W	chrXV;chrXV	505794;506339	505937;506767	+;+	573	4366	4825	3699	3788	5762	4722	3775	3198	10446	8012	3123	3931
YOR097C	chrXV	506978	507505	-	528	478	515	368	346	404	295	409	407	347	350	417	578
YOR098C	chrXV	507948	511178	-	3231	3404	3623	2348	2266	3629	2988	2877	2558	3972	3469	2730	3514
YOR099W	chrXV	511825	513006	+	1182	3732	4009	2091	2114	3188	2747	2845	2256	4357	3742	2343	3130
YOR100C	chrXV	513295	514278	-	984	166	149	63	70	85	78	90	70	81	94	89	137
YOR101W	chrXV	515244	516173	+	930	570	632	912	959	935	892	1359	1086	1229	1028	1046	1473
YOR102W	chrXV	516423	516773	+	351	3	3	1	0	4	2	0	3	7	3	1	0
YOR103C	chrXV	516449	516841	-	393	74	95	40	39	60	57	70	46	87	76	59	92
YOR104W	chrXV	517642	518490	+	849	981	988	390	374	831	664	451	423	834	909	464	616
YOR105W	chrXV	518195	518521	+	327	12	21	3	2	12	6	9	10	19	18	5	12
YOR106W	chrXV	519121	519972	+	852	637	691	528	473	550	526	640	520	646	571	608	733
YOR107W	chrXV	521353	522282	+	930	1007	1002	358	385	1126	1066	632	518	1093	1056	498	698
YOR108W	chrXV	523027	524841	+	1815	845	948	1285	1189	2153	1937	1761	1432	1799	1740	1388	1878
YOR108C-A	chrXV	524605	524814	-	210	0	0	0	0	0	0	0	0	0	0	0	0
YOR109W	chrXV	525278	528601	+	3324	2721	2737	899	849	1994	1628	1192	975	2399	2214	955	1342
YOR110W	chrXV	528941	530248	+	1308	701	732	684	707	529	491	901	673	662	635	778	980
YOR111W	chrXV	530429	531127	+	699	323	324	332	346	196	175	486	361	243	212	373	533
YOR112W	chrXV	531508	533793	+	2286	699	754	738	696	603	475	985	702	692	616	847	1204
YOR113W	chrXV	534075	536819	+	2745	1001	1047	1170	1060	785	726	1503	1201	943	898	1353	1873
YOR114W	chrXV	537570	538454	+	885	369	420	161	166	196	148	271	209	241	254	243	334
YOR115C	chrXV	538659	539465	-	807	537	589	458	521	451	410	700	524	675	603	570	745
YOR116C	chrXV	539763	544145	-	4383	1657	1660	1499	1494	2182	1550	1967	1646	2695	2246	1628	2201
YOR117W	chrXV	545029	546333	+	1305	4901	5287	8686	8603	3550	3333	11139	9226	3930	3391	10688	13551
YOR118W	chrXV	546857	548560	+	1704	847	930	768	783	837	696	1046	866	1017	919	948	1182
YOR119C	chrXV	548792	550246	-	1455	817	893	1076	1075	1099	1018	1449	1128	1496	1413	1225	1649
YOR120W	chrXV	551114	552052	+	939	887	916	798	756	1493	1402	1043	830	1491	1165	1003	1515
YOR121C	chrXV	551798	552103	-	306	46	47	5	8	39	38	5	1	46	35	9	9
YOR122C	chrXV;chrXV	552298;552875	552665;552887	-;-	381	3797	4029	2684	2556	3607	3247	3375	2752	4548	3491	2830	3592
YOR123C	chrXV	553176	554570	-	1395	3444	3755	3672	3631	3200	3233	4145	3612	3559	3306	4020	5392
YOR124C	chrXV	554824	558642	-	3819	2735	2575	2914	2861	2083	1632	3610	3021	2334	1959	3158	4118
YOR125C	chrXV	559030	559731	-	702	477	535	620	613	309	292	787	572	430	386	616	890
YOR126C	chrXV	559961	560677	-	717	296	308	343	312	252	234	387	372	334	302	334	455
YOR127W	chrXV	561170	564193	+	3024	2763	3153	3094	3020	2312	1936	3993	3303	3383	2802	3480	4554
YOR128C	chrXV	564476	566191	-	1716	2070	2200	626	610	1467	1178	936	769	1259	1037	790	1114
YOR129C	chrXV	566877	569558	-	2682	374	415	196	201	336	318	314	264	370	398	250	339
YOR130C	chrXV	569929	570807	-	879	863	875	366	373	850	788	449	394	607	518	394	540
tD(GUC)O	chrXV	571958	572029	+	72	21	24	1	1	26	32	1	0	24	24	1	1
YOR131C	chrXV	572182	572838	-	657	1015	1008	1088	1041	754	732	1290	1066	986	929	1138	1496
YOR132W	chrXV	573175	574830	+	1656	1482	1744	925	865	1060	992	1177	905	1233	1161	1062	1433
YOR133W	chrXV	575098	577626	+	2529	3967	4357	4081	3855	4978	4285	4207	3757	8075	6202	3585	4760
YOR134W	chrXV	578564	579793	+	1230	420	442	219	146	449	436	169	151	511	380	188	260
YOR135C	chrXV	580159	580500	-	342	15	9	5	3	12	6	8	6	4	4	3	3
YOR136W	chrXV	580250	581359	+	1110	4236	4051	2431	2460	1957	1933	3294	2490	2789	2218	2499	3620
YOR137C	chrXV	581813	583681	-	1869	504	514	247	234	410	386	350	309	547	494	300	445
YOR138C	chrXV	584309	586324	-	2016	1860	1875	960	838	1283	1079	1251	1159	1363	1274	1042	1410
YOR139C	chrXV	586950	587342	-	393	4	4	6	8	3	10	11	8	10	5	13	16
YOR140W	chrXV	586981	589281	+	2301	832	809	994	965	723	717	1515	1256	1041	883	1443	1876
YOR141C	chrXV	589942	592587	-	2646	1208	1333	1892	1944	1362	1177	2458	2014	1534	1415	2204	2864
YOR142W	chrXV	593057	594046	+	990	4395	4428	1465	1417	2536	2238	2016	1508	3300	2683	1677	2410
tG(CCC)O	chrXV	594354	594425	-	72	6	7	1	0	15	9	1	0	6	4	0	2
YOR142W-B	chrXV	595112	600380	+	5269	29	30	35	36	18	18	34	35	24	19	37	48
YOR142W-A	chrXV	595112	596434	+	1323	0	0	0	0	0	0	0	0	0	0	0	0
YOR143C	chrXV	601383	602342	-	960	334	341	300	278	310	219	449	308	464	455	329	511
YOR144C	chrXV	602717	605092	-	2376	454	439	212	221	307	264	302	254	349	364	216	322
YOR145C	chrXV	605347	606171	-	825	793	820	869	840	1268	1056	1295	1040	1638	1403	1016	1470
YOR146W	chrXV	605873	606178	+	306	0	0	0	0	0	0	0	0	0	0	0	0
YOR147W	chrXV	606607	608475	+	1869	678	699	681	732	830	686	951	756	815	866	771	1080
YOR148C	chrXV	608640	609197	-	558	529	644	239	230	519	505	257	233	531	460	292	296
YOR149C	chrXV	609838	611388	-	1551	291	303	169	155	262	179	234	180	272	244	179	256
YOR150W	chrXV	611999	612490	+	492	721	789	1229	1135	724	765	1632	1303	1028	949	1348	1738
YOR151C	chrXV	612997	616671	-	3675	5898	6112	4605	4553	5119	4022	5792	4813	7282	5916	4877	6496
YOR152C	chrXV	617518	618288	-	771	98	86	137	116	75	80	164	115	81	67	128	167
YOR153W	chrXV	619840	624375	+	4536	8859	8538	8081	7696	5879	9416	9651	8014	6857	5211	8129	10779
YOR154W	chrXV	624729	626492	+	1764	420	456	395	388	402	384	556	413	551	499	427	608
YOR155C	chrXV	626628	627980	-	1353	1369	1336	1004	1019	900	804	1339	1208	1148	971	1278	1628
YOR156C	chrXV	628360	630540	-	2181	492	506	339	331	384	349	514	443	371	348	460	638
YOR157C	chrXV	630966	631751	-	786	2979	3060	2817	2752	2067	2041	3735	2983	2120	1898	3303	4276
YOR158W	chrXV	632164	633120	+	957	630	714	1246	1310	844	792	1835	1463	1118	1157	1640	2169
YOR159C	chrXV	633282	633566	-	285	449	428	733	695	420	436	822	661	550	523	808	866
YOR160W	chrXV	633839	636757	+	2919	619	625	577	569	559	450	781	604	758	598	593	914
YOR161C	chrXV	636939	638558	-	1620	1655	1594	732	641	1724	1773	1038	835	1271	1219	901	1293
YOR161W-A	chrXV	637574	637654	+	81	0	0	0	0	0	0	0	0	0	0	0	0
YOR161W-B	chrXV	637975	638235	+	261	0	0	0	0	0	0	0	0	0	0	0	0
YOR161C-C	chrXV	639121	639267	-	147	56	64	12	13	36	37	13	16	33	30	21	23
YOR162C	chrXV	639560	641992	-	2433	565	606	451	464	457	395	665	505	414	451	495	756
YOR163W	chrXV	642741	643307	+	567	1221	1362	1012	924	1073	1001	1335	1051	1235	969	1268	1502
YOR164C	chrXV	643394	644332	-	939	639	662	877	800	558	486	1039	873	677	607	972	1180
YOR165W	chrXV	644566	646896	+	2331	1665	1836	1459	1542	1739	1493	2066	1586	2174	2074	1596	2212
YOR166C	chrXV	647126	648502	-	1377	395	371	278	274	368	299	394	295	404	397	315	447
YOR167C	chrXV	648804	649007	-	204	4107	4388	10290	9750	5131	5001	9745	8366	11012	7271	8101	9736
YOR168W	chrXV	649303	651732	+	2430	3283	3517	2250	2213	3800	3024	2657	2286	4610	4431	2386	3092
YOR169C	chrXV	651376	651840	-	465	0	1	0	0	1	2	0	0	1	2	0	0
YOR170W	chrXV	651858	652163	+	306	9	11	17	13	4	7	26	17	9	17	16	30
YOR171C	chrXV	652010	653884	-	1875	1280	1389	1965	1880	1107	944	2739	2223	1278	1184	2282	2953
YOR172W	chrXV	654210	656570	+	2361	686	778	712	722	755	629	1086	918	767	813	855	1161
YOR173W	chrXV	657264	658325	+	1062	1613	1486	507	504	980	1007	616	533	1051	929	597	792
YOR174W	chrXV	658747	659601	+	855	766	838	711	684	752	684	1041	785	937	846	796	1124
YOR175C	chrXV	659815	661674	-	1860	1597	1626	1453	1559	1350	1195	2002	1641	1643	1486	1578	2156
YOR176W	chrXV	662401	663582	+	1182	1512	1607	1108	1092	1477	1320	1464	1254	2082	1807	1197	1705
tV(AAC)O	chrXV	663812	663885	-	74	8	18	1	2	13	16	0	2	8	14	1	2
YOR177C	chrXV	665785	667179	-	1395	64	86	73	76	98	99	119	80	141	115	75	131
YOR178C	chrXV	667860	670241	-	2382	920	848	451	466	465	462	618	548	707	621	650	934
YOR179C	chrXV	671845	672411	-	567	276	285	127	113	220	227	195	164	296	260	165	224
YOR180C	chrXV	674352	675167	-	816	226	254	77	76	134	95	105	93	144	93	88	144
YOR181W	chrXV	675939	677840	+	1902	3250	3443	1889	1632	2241	1989	2325	2137	2748	2227	2327	2939
YOR182C	chrXV;chrXV	678191;678791	678379;678793	-;-	192	1997	2257	2320	2126	2548	2482	1892	1676	4788	3909	1667	1948
YOR183W	chrXV	678872	679261	+	390	55	75	23	18	19	21	24	18	25	19	15	25
YOR184W	chrXV	679357	680544	+	1188	7245	7915	3277	3323	3603	3227	4528	3515	3087	2682	3526	4912
snR36	chrXV	680685	680866	-	182	39	35	8	3	18	49	11	8	18	20	12	10
YOR185C	chrXV	681444	682106	-	663	2347	2481	753	767	1511	1443	1174	880	1151	1080	983	1282
YOR186W	chrXV	683111	683545	+	435	37	37	3	3	21	20	9	3	14	22	1	6
YOR186C-A	chrXV	683329	683538	-	210	0	0	0	0	0	0	0	0	0	0	0	0
YOR187W	chrXV	684030	685343	+	1314	3868	4015	5122	4641	4189	3928	6649	5362	8057	6735	5684	7548
YOR188W	chrXV	685767	689180	+	3414	1233	1453	1009	926	1307	1112	1371	1112	2038	1754	1264	1575
YOR189W	chrXV	689624	689974	+	351	593	627	877	861	505	508	1043	826	696	527	818	1031
YOR190W	chrXV	690695	692032	+	1338	148	166	142	122	112	97	157	137	123	112	131	191
YOR191W	chrXV	692475	697334	+	4860	2526	2796	2131	1998	1979	1592	2648	2186	2573	2262	2361	2906
YOR192C	chrXV	698768	700567	-	1800	288	275	102	90	153	116	138	94	147	148	104	139
YOR192C-C	chrXV	703988	704224	-	237	22	20	17	19	14	8	23	14	16	7	25	15
YOR192C-B	chrXV	704419	709732	-	5314	188	203	449	248	98	60	236	232	145	97	245	244
YOR192C-A	chrXV	708416	709732	-	1317	0	0	0	0	0	0	0	0	0	0	0	0
tM(CAU)O1	chrXV	710201	710272	+	72	1	0	2	0	1	1	1	1	1	0	2	2
YOR193W	chrXV	710446	711576	+	1131	173	211	164	161	202	154	255	192	172	193	156	263
YOR194C	chrXV	711683	712543	-	861	2860	2917	3369	3396	2345	1990	4292	3609	2607	2410	3912	4882
YOR195W	chrXV	712866	715331	+	2466	1888	2054	1933	2205	1444	1097	3066	2431	1819	1733	2129	3148
YOR196C	chrXV	715593	716837	-	1245	1422	1454	1774	1655	1550	1420	2359	1905	1758	1796	2015	2655
YOR197W	chrXV	717086	718384	+	1299	5143	5652	2873	2530	5004	4264	3226	2847	5223	4858	3112	4066
YOR198C	chrXV	718653	720065	-	1413	6820	7715	8268	8362	5485	5100	10304	8102	9914	7579	8814	11312
YOR199W	chrXV	720181	720510	+	330	45	48	63	44	45	50	43	42	90	58	42	46
YOR200W	chrXV	720417	720815	+	399	1	2	0	0	1	4	0	0	1	1	1	0
YOR201C	chrXV	720470	721708	-	1239	1016	1149	461	522	1145	1153	721	584	1451	1378	624	865
YOR202W	chrXV	721946	722608	+	663	873	1000	337	303	672	684	484	430	490	383	412	511
YOR203W	chrXV	722565	722918	+	354	9	6	2	0	11	3	3	2	6	2	4	2
YOR204W	chrXV	722911	724725	+	1815	7195	7550	4760	4640	7253	5686	6358	5420	9517	7325	5150	7233
YOR205C	chrXV	725564	727234	-	1671	562	579	493	479	672	583	686	553	880	810	562	793
YOR206W	chrXV	727512	729644	+	2133	2044	2228	3147	3338	3923	3061	4385	3462	4993	5014	3735	5252
YOR207C	chrXV	730008	733457	-	3450	1833	1872	2129	2099	2600	1956	2745	2287	3094	2738	2261	3121
YOR208W	chrXV	733925	736177	+	2253	1551	1620	3004	2814	1247	1034	4307	3224	1618	1309	3490	5220
YOR209C	chrXV	736437	737726	-	1290	2038	2269	2126	2233	2727	2056	2932	2157	3883	3421	2312	3593
YOR210W	chrXV	738320	738532	+	213	681	822	1509	1356	794	757	1625	1402	1293	1219	1479	1840
YOR211C	chrXV	738924	741569	-	2646	896	990	1353	1364	712	650	1756	1337	1045	902	1510	1827
YOR212W	chrXV	742910	744181	+	1272	1388	1477	1873	1783	1447	1251	2595	2044	1978	1767	2232	3055
YOR213C	chrXV	744535	745281	-	747	342	393	310	322	327	298	400	329	390	344	355	490
YOR214C	chrXV	745593	746303	-	711	28	28	11	8	18	13	21	7	13	13	8	18
YOR215C	chrXV	746725	747282	-	558	1617	1720	1487	1357	1512	1470	1830	1462	1776	1574	1645	2003
YOR216C	chrXV	747525	748979	-	1455	1045	1177	1655	1704	840	788	2108	1690	1412	1280	1915	2405
YOR217W	chrXV	749301	751886	+	2586	1427	1613	1035	1064	1145	946	1250	1014	1544	1379	1021	1376
YOR218C	chrXV	751476	751895	-	420	4	5	2	2	4	1	2	2	4	3	7	4
YOR219C	chrXV	752214	755009	-	2796	1165	1268	709	703	992	773	963	802	1067	1114	839	1165
YOR220W	chrXV	755328	756125	+	798	1192	1304	1101	1052	1141	944	1538	1097	1102	1146	1234	1744
YOR221C	chrXV	756476	757558	-	1083	744	845	1518	1648	737	714	2043	1530	729	709	1805	2449
YOR222W	chrXV	758330	759253	+	924	2200	2567	567	507	3474	3242	639	564	2956	2492	541	787
snR35	chrXV	759326	759529	-	204	131	159	205	157	77	209	118	96	101	77	61	62
YOR223W	chrXV	759782	760660	+	879	1210	1337	969	900	1157	1216	1141	997	1030	931	1068	1406
YOR224C	chrXV	760825	761265	-	441	1248	1275	2463	2234	1495	1312	2703	2334	2771	1851	2404	3062
YOR225W	chrXV	761392	761721	+	330	2	3	5	4	5	2	1	2	4	6	8	6
YOR226C	chrXV	761614	762084	-	471	273	286	324	330	334	345	402	361	436	342	356	427
YOR227W	chrXV	762825	766565	+	3741	2854	2795	1226	1137	1821	1650	1647	1311	2099	1775	1304	1739
YOR228C	chrXV	766869	767777	-	909	323	317	436	382	256	276	599	493	309	285	534	720
YOR229W	chrXV	768409	769812	+	1404	576	593	623	592	638	710	853	728	802	680	750	963
YOR230W	chrXV	770800	772113	+	1314	5715	6162	6272	6004	5434	5129	8031	6413	7073	6069	6877	9576
YOR231W	chrXV	772601	774127	+	1527	1174	1257	1099	986	989	1031	1492	1185	1177	1025	1438	1934
YOR231C-A	chrXV	773163	773363	-	201	0	0	0	0	0	0	0	0	0	0	0	0
YOR232W	chrXV	774573	775259	+	687	1018	1069	1980	1952	992	992	2836	2129	1850	1578	2231	2964
YOR233W	chrXV	775846	778248	+	2403	1349	1449	828	812	1136	1009	1129	874	1469	1391	1023	1256
YOR234C	chrXV;chrXV	778555;779387	778859;779405	-;-	324	1497	1779	829	877	1618	1416	852	712	3010	2457	718	863
YOR235W	chrXV	779870	780184	+	315	54	61	8	2	37	42	2	3	16	17	5	3
snR17a	chrXV;chrXV	780107;780278	780120;780596	+;+	333	215	249	289	291	204	570	212	230	224	183	319	196
YOR236W	chrXV	780906	781541	+	636	652	741	537	511	657	633	687	560	576	527	602	759
YOR237W	chrXV	781994	783298	+	1305	225	289	28	23	197	195	37	33	104	121	34	56
YOR238W	chrXV	783677	784588	+	912	616	668	477	460	492	394	604	424	499	470	508	648
YOR239W	chrXV;chrXV	784857;785689	785687;786744	+;+	1887	4319	4725	2914	2837	4332	3781	2730	2533	5522	5135	2663	3342
YOR241W	chrXV	786995	788641	+	1647	1070	1132	868	914	895	831	1269	1037	1349	1241	976	1398
YOR242C	chrXV	788742	789857	-	1116	43	37	45	40	38	22	49	41	30	40	47	58
YOR243C	chrXV	790211	792241	-	2031	1087	1130	1259	1164	1419	1076	1526	1281	2446	2021	1171	1647
YOR244W	chrXV	792531	793868	+	1338	438	493	887	882	485	422	1312	960	632	547	1133	1452
YOR245C	chrXV	794076	795332	-	1257	909	967	515	469	772	597	703	549	768	699	571	791
YOR246C	chrXV	795801	796793	-	993	2629	2860	1367	1319	2617	2241	1805	1576	2438	2472	1556	2000
YOR247W	chrXV	797676	798308	+	633	4967	5417	2912	2833	3178	2728	3997	3276	7215	4428	3594	4892
YOR248W	chrXV	798013	798315	+	303	37	35	26	34	30	20	33	24	58	31	16	36
YOR249C	chrXV	798674	800731	-	2058	324	349	311	341	302	220	480	395	284	263	407	593
YOR250C	chrXV	800970	802307	-	1338	556	621	590	619	594	549	750	620	554	648	644	999
YOR251C	chrXV	802550	803464	-	915	1075	1215	971	921	1106	982	1168	912	1235	1108	955	1320
YOR252W	chrXV	803667	804203	+	537	654	733	1017	1055	894	788	1279	1001	1283	1093	1166	1420
YOR253W	chrXV	804377	804907	+	531	771	941	1089	990	1106	977	1518	1227	1094	1097	1126	1606
YOR254C	chrXV	805032	807023	-	1992	2191	2190	2943	2982	1988	1473	3914	3074	3241	2550	3101	4225
YOR255W	chrXV	807271	808107	+	837	26	19	9	12	19	19	19	16	21	32	17	30
YOR256C	chrXV	808254	810683	-	2430	989	1082	950	1017	970	765	1226	1090	1049	990	1023	1563
YOR257W	chrXV	811008	811493	+	486	447	457	835	895	445	415	1185	878	499	500	980	1280
YOR258W	chrXV	811671	812324	+	654	110	142	111	100	116	113	176	119	133	138	146	174
YOR259C	chrXV	812395	813708	-	1314	6287	6546	11304	10753	4740	4482	13064	11034	5004	4235	12430	15808
YOR260W	chrXV	813984	815720	+	1737	2036	2200	2067	2216	2041	1733	2917	2259	2218	1899	2378	3060
YOR261C	chrXV	815915	816931	-	1017	3325	3581	4472	4704	2032	1541	5969	4783	2189	1903	4606	6512
YOR262W	chrXV	817292	818335	+	1044	1488	1607	1123	1071	1507	1348	1415	1076	1087	1051	1179	1547
YOR263C	chrXV	818757	819164	-	408	41	45	9	11	42	36	12	7	17	33	15	18
YOR264W	chrXV	818866	820158	+	1293	410	466	437	451	588	526	741	554	749	771	599	792
YOR265W	chrXV	820454	820774	+	321	694	775	1019	938	472	488	976	743	495	470	942	1029
YOR266W	chrXV	821023	822294	+	1272	216	269	223	214	200	165	351	242	265	253	265	364
YOR267C	chrXV	822588	824867	-	2280	3382	3483	4248	4010	3131	2762	6490	5188	3502	3352	5760	8034
YOR268C	chrXV	825534	825932	-	399	16	17	29	26	21	12	31	37	16	13	29	37
YOR269W	chrXV	826385	827869	+	1485	424	459	175	212	485	398	323	247	525	445	238	343
YOR270C	chrXV	828052	830574	-	2523	5870	6077	3963	4011	5031	4046	5396	4226	5761	5235	4165	6041
YOR271C	chrXV	831059	832042	-	984	2445	2690	2933	2640	3114	2997	3735	3177	4478	3540	3193	4088
snR8	chrXV	832332	832521	+	190	118	137	168	113	96	318	71	107	133	74	87	50
YOR272W	chrXV	832813	834195	+	1383	1086	1251	2242	2127	1863	1687	3041	2388	2528	2111	2389	3362
YOR273C	chrXV	834452	836431	-	1980	866	897	881	802	1385	1364	1114	916	1940	1850	912	1408
YOR274W	chrXV	837674	838960	+	1287	376	422	840	894	507	395	1135	832	916	814	980	1322
YOR275C	chrXV	839084	841069	-	1986	975	1061	797	716	933	747	1070	845	817	865	852	1218
YOR276W	chrXV	841333	841818	+	486	320	385	464	494	492	458	692	500	603	633	515	764
